Wiki link,common_name,botanical_name,status,common name worked,botanical name worked,both worked,search result url,missouribotanicalgarden url,page data
https://en.wikipedia.org/wiki/spiraea_bumalda,Anthony Waterer Spirea,Spiraea Bumalda,,,,,,,
https://en.wikipedia.org/wiki/spiraea_bumalda,Limemound Spirea,Spiraea Bumalda,,,,,,,
https://en.wikipedia.org/wiki/spiraea_prunifolia,Bridal Wreath Spirea,Spiraea Prunifolia,,,,,,,
https://en.wikipedia.org/wiki/Stachys_byzantina,Lamb's Ear,Stachys Byzantina,,,,,,,
https://en.wikipedia.org/wiki/Stenotaphrum_secundatum,St. Augustine Grass,Stenotaphrum Secundatum,,,,,,,
https://en.wikipedia.org/wiki/symphyotrichum_oblongifolium,Fall Aster,Symphyotrichum Oblongifolium,,,,,,,
https://en.wikipedia.org/wiki/Tabernaemontana_divaricata,Crepe Jasmine,Tabernaemontana Divaricata,,,,,,,
https://en.wikipedia.org/wiki/teucrium_fruticans,Bush Germander,Teucrium Fruticans,,,,,,,
https://en.wikipedia.org/wiki/Thelypteris_kunthii,Wood Fern,Thelypteris Kunthii,,,,,,,
https://en.wikipedia.org/wiki/Triticum_aestivum,Wheatgrass,Triticum Aestivum,,,,,,,
https://en.wikipedia.org/wiki/tulbaghia_violacea,Society Garlic,Tulbaghia Violacea,,,,,,,
https://en.wikipedia.org/wiki/Ulmus_crassifolia,Cedar Elm,Ulmus Crassifolia,,,,,,,
https://en.wikipedia.org/wiki/Ulmus_parvifolia,Lace Bark/Chinese Elm,Ulmus Parvifolia,,,,,,,
https://en.wikipedia.org/wiki/viburnum_rufidulum,Rusty Blackhaw Viburnum,Viburnum Rufidulum,,,,,,,
https://en.wikipedia.org/wiki/Vitex_agnus-castus,Texas Lilac,Vitex Agnus-castus,,,,,,,
https://en.wikipedia.org/wiki/Washingtonia_robusta,Mexican Fan Palm,Washingtonia Robusta,,,,,,,
https://en.wikipedia.org/wiki/wedelia_hispida,Zexmenia,Wedelia Hispida,,,,,,,
https://en.wikipedia.org/wiki/Wisteria_sinensis,Blue Wisteria,Wisteria Sinensis,,,,,,,
https://en.wikipedia.org/wiki/Yucca_aloifolia,Spanish Bayonet,Yucca Aloifolia,,,,,,,
https://en.wikipedia.org/wiki/Yucca_baccata,Banana Yucca,Yucca Baccata,,,,,,,
https://en.wikipedia.org/wiki/Yucca_brevifolia,Joshua Tree,Yucca Brevifolia,,,,,,,
https://en.wikipedia.org/wiki/Yucca_elata,Soaptree Yucca,Yucca Elata,,,,,,,
https://en.wikipedia.org/wiki/Yucca_filamentosa,Adam's Needle Yucca,Yucca Filamentosa,,,,,,,
https://en.wikipedia.org/wiki/Yucca_glauca,Soapweed Yucca,Yucca Glauca,,,,,,,
https://en.wikipedia.org/wiki/Yucca_gloriosa,Spanish Dagger,Yucca Gloriosa,,,,,,,
https://en.wikipedia.org/wiki/Yucca_gloriosa_var._tristis,Soft Leaf Yucca,Yucca Recurvifolia,,,,,,,
https://en.wikipedia.org/wiki/Zea_mays,Corn,Zea Mays,,,,,,,
https://en.wikipedia.org/wiki/Zephyranthes_candida,Zephyr Lily,Zephyranthes Candida,,,,,,,
https://en.wikipedia.org/wiki/Zoysia_matrella,Zoysia Grass,Zoysia Matrella,,,,,,,
https://en.wikipedia.org/wiki/Zoysia_tenuifolia,Korean Velvet Grass,Zoysia Tenuifolia,,,,,,,
https://en.wikipedia.org/wiki/Abies_balsamea,Balsam Fir,Abies Balsamea,,,,,,,
https://en.wikipedia.org/wiki/Abies_concolor,White Fir,Abies Concolor,,,,,,,
https://en.wikipedia.org/wiki/Abies_firma,Japanese Fir,Abies Firma,,,,,,,
https://en.wikipedia.org/wiki/Abies_fraseri,Fraser Fir Christmas Tree,Abies Fraseri,,,,,,,
https://en.wikipedia.org/wiki/Abies_grandis,Grand Fir,Abies Grandis,,,,,,,
https://en.wikipedia.org/wiki/Abronia_villosa,Purple Sand Verbena,Abronia Villosa,,,,,,,
https://en.wikipedia.org/wiki/Acacia_aneura,Mulga,Acacia Aneura,,,,,,,
https://en.wikipedia.org/wiki/Acacia_baileyana,Cootamundra Wattle,Acacia Baileyana,,,,,,,
https://en.wikipedia.org/wiki/Acacia_confusa,Formosan Koa,Acacia Confusa,,,,,,,
https://en.wikipedia.org/wiki/Acacia_craspedocarpa,Waxleaf Acacia,Acacia Craspedocarpa,,,,,,,
https://en.wikipedia.org/wiki/Acacia_cultriformis,Knife Acacia,Acacia Cultriformis,,,,,,,
https://en.wikipedia.org/wiki/Acacia_koa,Hawaiian Koa,Acacia Koa,,,,,,,
https://en.wikipedia.org/wiki/Acacia_melanoxylon,Blackwood Acacia,Acacia Melanoxylon,,,,,,,
