Plantname,Category,Unit,Value 1,Value 2,Value 3,Value 4,Value 5,Value 6,Value 7,Value 8,Value 9,Value 10,Wiki link,Evidence (Source text/Sentence)
Coreopsis_lanceolata,Perennial,cm,60.0,x,x,x,x,x,x,x,x,x,https://en.wikipedia.org/wiki/Coreopsis_lanceolata,== Description == Coreopsis lanceolata is a perennial plant sometimes attaining a height of over 60 cm ( 2 foot ) .
Coreopsis_lanceolata,Perennial,ft,2.0,x,x,x,x,x,x,x,x,x,https://en.wikipedia.org/wiki/Coreopsis_lanceolata,== Description == Coreopsis lanceolata is a perennial plant sometimes attaining a height of over 60 cm ( 2 foot ) .
Coreopsis_rosea,Perennial,x,x,x,x,x,x,x,x,x,x,x,https://en.wikipedia.org/wiki/Coreopsis_rosea,x
Coreopsis_verticillata,Perennial,ft,2.0,2.0,3.0,x,x,x,x,x,x,x,https://en.wikipedia.org/wiki/Coreopsis_verticillata,"== Description == Coreopsis verticillata is an herbaceous perennial that grows 2–3 ft ( 1–1 m ) tall and about 2 ft ( 1 m ) wide , although a it spread laterally by rhizome , this width can be exceeded ."
Coreopsis_verticillata,Perennial,m,1.0,1.0,1.0,x,x,x,x,x,x,x,https://en.wikipedia.org/wiki/Coreopsis_verticillata,"== Description == Coreopsis verticillata is an herbaceous perennial that grows 2–3 ft ( 1–1 m ) tall and about 2 ft ( 1 m ) wide , although a it spread laterally by rhizome , this width can be exceeded ."
Coriander,Herb,in,20.0,x,x,x,x,x,x,x,x,x,https://en.wikipedia.org/wiki/Coriander,It is a soft plant growing to 50 cm ( 20 in ) tall .
Coriander,Herb,cm,50.0,x,x,x,x,x,x,x,x,x,https://en.wikipedia.org/wiki/Coriander,It is a soft plant growing to 50 cm ( 20 in ) tall .
Costus,Tropical,x,x,x,x,x,x,x,x,x,x,x,https://en.wikipedia.org/wiki/Costus,x
Cotinus_coggygria,Shrub,ft,16.0,23.0,x,x,x,x,x,x,x,x,https://en.wikipedia.org/wiki/Cotinus_coggygria,"It is a multiple-branching shrub growing to 5–7 m ( 16–23 ft ) tall with an open , spreading , irregular habit , only rarely forming a small tree ."
Cotinus_coggygria,Shrub,m,5.0,7.0,x,x,x,x,x,x,x,x,https://en.wikipedia.org/wiki/Cotinus_coggygria,"It is a multiple-branching shrub growing to 5–7 m ( 16–23 ft ) tall with an open , spreading , irregular habit , only rarely forming a small tree ."
