Wiki link,common_name,botanical_name,status,common name worked,botanical name worked,both worked,search result url,missouribotanicalgarden url,page data
https://en.wikipedia.org/wiki/Rudbeckia_triloba,Three-Lobed Rudbeckia,Rudbeckia Triloba,,,,,,,
https://en.wikipedia.org/wiki/Ruellia_humilis,Wild Ruellia,Ruellia Humilis,,,,,,,
https://en.wikipedia.org/wiki/Rumex_sanguineus,Bloody Dock,Rumex Sanguineus,,,,,,,
https://en.wikipedia.org/wiki/Rumohra_adiantiformis,Varigated Leather Leaf Fern,Rumohra Adiantiformis,,,,,,,
https://en.wikipedia.org/wiki/Russelia_equisetiformis,Firecracker Plant,Russelia Equisetiformis,,,,,,,
https://en.wikipedia.org/wiki/Sabal_palmetto,Palmetto,Sabal Palmetto,,,,,,,
https://en.wikipedia.org/wiki/Sagina_subulata,Irish Moss,Sagina Subulata,,,,,,,
https://en.wikipedia.org/wiki/Salix_babylonica,Green Weeping Willow,Salix Babylonica,,,,,,,
https://en.wikipedia.org/wiki/Salix_caprea,French Pussy Willow,Salix Caprea,,,,,,,
https://en.wikipedia.org/wiki/Salix_discolor,Pussy Willow,Salix Discolor,,,,,,,
https://en.wikipedia.org/wiki/Salpiglossis_sinuata,Painted-Tongue,Salpiglossis Sinuata,,,,,,,
https://en.wikipedia.org/wiki/Salvia_argentea,Silver Sage,Salvia Argentea,,,,,,,
https://en.wikipedia.org/wiki/Salvia_coccinea,Cherry Red Sage,Salvia Coccinea,,,,,,,
https://en.wikipedia.org/wiki/Sanguisorba_minor,Salad Burnet,Sanguisorba Minor,,,,,,,
https://en.wikipedia.org/wiki/Sansevieria_trifasciata,Snake Plant,Sansevieria Trifasciata,,,,,,,
https://en.wikipedia.org/wiki/Sanvitalia_procumbens,Creeping Zinnia,Sanvitalia Procumbens,,,,,,,
https://en.wikipedia.org/wiki/Saponaria_ocymoides,Rock Soapwart,Saponaria Ocymoides,,,,,,,
https://en.wikipedia.org/wiki/Sarracenia_purpurea,Pitcher Plant,Sarracenia Purpurea,,,,,,,
https://en.wikipedia.org/wiki/Saururus_cernuus,Lizard's Tail,Saururus Cernuus,,,,,,,
https://en.wikipedia.org/wiki/Scabiosa_columbaria,Pincushion Flower,Scabiosa Columbaria,,,,,,,
https://en.wikipedia.org/wiki/Schefflera_arboricola,Schefflera,Schefflera Arboricola,,,,,,,
https://en.wikipedia.org/wiki/Scilla_siberica,Wood Squill,Scilla Siberica,,,,,,,
https://en.wikipedia.org/wiki/Sedum_acre,Goldmoss Stonecrop,Sedum Acre,,,,,,,
https://en.wikipedia.org/wiki/Sedum_album,White Stonecrop,Sedum Album,,,,,,,
https://en.wikipedia.org/wiki/Sedum_album,White Stonecrop,Sedum Album,,,,,,,
https://en.wikipedia.org/wiki/Sedum_dasyphyllum,Corsican Stonecrop,Sedum Dasyphyllum,,,,,,,
https://en.wikipedia.org/wiki/Sedum_divergens,Pacific Stonecrop,Sedum Divergens,,,,,,,
https://en.wikipedia.org/wiki/Sedum_divergens,Pacific Stonecrop,Sedum Divergens,,,,,,,
https://en.wikipedia.org/wiki/Sedum_forsterianum,Oracle Sedum,Sedum Forsterianum,,,,,,,
https://en.wikipedia.org/wiki/Sedum_glaucophyllum,Cliff Sedum,Sedum Glaucophyllum,,,,,,,
https://en.wikipedia.org/wiki/Sedum_glaucophyllum,Cliff Sedum,Sedum Glaucophyllum,,,,,,,
https://en.wikipedia.org/wiki/Sedum_hispanicum,Spanish Stonecrop,Sedum Hispanicum,,,,,,,
https://en.wikipedia.org/wiki/Sedum_hispanicum,Little Blue Spanish Stonecrop,Sedum Hispanicum,,,,,,,
https://en.wikipedia.org/wiki/Sedum_kamtschaticum,Stonecrop,Sedum Kamtschaticum,,,,,,,
https://en.wikipedia.org/wiki/Sedum_kamtschaticum,Yellow Stonecrop,Sedum Kamtschaticum,,,,,,,
https://en.wikipedia.org/wiki/Sedum_lineare,Sea Urchin Sedum,Sedum Lineare,,,,,,,
https://en.wikipedia.org/wiki/Sedum_nevii,Silver Frost Sedum,Sedum Nevii,,,,,,,
https://en.wikipedia.org/wiki/Sedum_pulchellum,Widow's Cross Sedum,Sedum Pulchellum,,,,,,,
https://en.wikipedia.org/wiki/Sedum_reflexum,Stone Orpine,Sedum Reflexum,,,,,,,
https://en.wikipedia.org/wiki/Sedum_reflexum,Stone Orpine,Sedum Reflexum,,,,,,,
https://en.wikipedia.org/wiki/Sedum_rubrotinctum,Pork and Beans Stonecrop,Sedum Rubrotinctum,,,,,,,
https://en.wikipedia.org/wiki/Sedum_rubrotinctum,Pork and Beans,Sedum Rubrotinctum,,,,,,,
https://en.wikipedia.org/wiki/Sedum_spathulifolium,Colorado Stonecrop,Sedum Spathulifolium,,,,,,,
https://en.wikipedia.org/wiki/Sedum_ternatum,Woodland Stonecrop,Sedum Ternatum,,,,,,,
https://en.wikipedia.org/wiki/Sedum_ternatum,Sedum,Sedum Ternatum,,,,,,,
https://en.wikipedia.org/wiki/Selaginella_kraussiana,Green Spike Moss,Selaginella Kraussiana,,,,,,,
https://en.wikipedia.org/wiki/Senecio_mandraliscae,Blue Finger Senecio,Senecio Mandraliscae,,,,,,,
https://en.wikipedia.org/wiki/Sequoia_sempervirens,Coast Redwood,Sequoia Sempervirens,,,,,,,
https://en.wikipedia.org/wiki/Sequoiadendron_giganteum,Giant Sequoia,Sequoiadendron Giganteum,,,,,,,
https://en.wikipedia.org/wiki/Serenoa_repens,Saw Palmetto Palm,Serenoa Repens,,,,,,,
https://en.wikipedia.org/wiki/Sesbania_punicea,Rattlebox,Sesbania Punicea,,,,,,,
https://en.wikipedia.org/wiki/Sesleria_autumnalis,Autumn Moor Ornamental Grass,Sesleria Autumnalis,,,,,,,
https://en.wikipedia.org/wiki/Sesleria_heufleriana,Blue-green Moor Grass,Sesleria Heufleriana,,,,,,,
https://en.wikipedia.org/wiki/Sidalcea_hendersonii,Henderson's Checker Mallow,Sidalcea Hendersonii,,,,,,,
https://en.wikipedia.org/wiki/Silene_acaulis,Cushion Pink,Silene Acaulis,,,,,,,
https://en.wikipedia.org/wiki/Simmondsia_chinensis,Jojoba,Simmondsia Chinensis,,,,,,,
https://en.wikipedia.org/wiki/Sisyrinchium_montanum,Blue-Eyed Grass,Sisyrinchium Montanum,,,,,,,
https://en.wikipedia.org/wiki/Skimmia_japonica,Dwarf Male Japanese Skimmia,Skimmia Japonica,,,,,,,
https://en.wikipedia.org/wiki/Solanum_laxum,Potato Vine,Solanum Jasminoides,,,,,,,
https://en.wikipedia.org/wiki/Solanum_melongena,Eggplant,Solanum Melongena,,,,,,,
https://en.wikipedia.org/wiki/Solanum_tuberosum,Seed Potato White,Solanum Tuberosum,,,,,,,
https://en.wikipedia.org/wiki/Soleirolia_soleirolii,Baby Tears,Soleirolia Soleirolii,,,,,,,
https://en.wikipedia.org/wiki/Solenostemon_scutellarioides,Coleus,Solenostemon Scutellarioides,,,,,,,
https://en.wikipedia.org/wiki/Solidago_caesia,Bluestem Goldenrod,Solidago Caesia,,,,,,,
