Wiki link,common name,botanical name,status,common name worked,botanical name worked,both worked,search result url,missouribotanicalgarden url,page data
,Oriental Fountain Grass,Pennisetum Orientale,1,1,1,1,http://www.missouribotanicalgarden.org/PlantFinder/PlantFinderProfileResults.aspx?basic=Pennisetum+Orientale,http://www.missouribotanicalgarden.org//PlantFinder/PlantFinderDetails.aspx?taxonid=250176&isprofile=1&basic=Pennisetum+Orientale,
,Fountain Grass,Pennisetum Setaceum,1,1,1,1,http://www.missouribotanicalgarden.org/PlantFinder/PlantFinderProfileResults.aspx?basic=Pennisetum+Setaceum,http://www.missouribotanicalgarden.org//PlantFinder/PlantFinderDetails.aspx?taxonid=285290&isprofile=1&basic=Pennisetum+Setaceum,
,Smooth Penstemon,Penstemon Digitalis,1,1,1,1,http://www.missouribotanicalgarden.org/PlantFinder/PlantFinderProfileResults.aspx?basic=Penstemon+Digitalis,http://www.missouribotanicalgarden.org//PlantFinder/PlantFinderDetails.aspx?taxonid=286985&isprofile=1&basic=Penstemon+Digitalis,
,Firecracker Penstemon,Penstemon Eatonii,1,1,1,1,http://www.missouribotanicalgarden.org/PlantFinder/PlantFinderProfileResults.aspx?basic=Penstemon+Eatonii,http://www.missouribotanicalgarden.org//PlantFinder/PlantFinderDetails.aspx?taxonid=286985&isprofile=1&basic=Penstemon+Digitalis,
,Palmer's Penstemon,Penstemon Palmeri,1,1,1,1,http://www.missouribotanicalgarden.org/PlantFinder/PlantFinderProfileResults.aspx?basic=Penstemon+Palmeri,http://www.missouribotanicalgarden.org//PlantFinder/PlantFinderDetails.aspx?taxonid=286985&isprofile=1&basic=Penstemon+Digitalis,
,Parry's Penstemon,Penstemon Parryi,1,1,1,1,http://www.missouribotanicalgarden.org/PlantFinder/PlantFinderProfileResults.aspx?basic=Penstemon+Parryi,http://www.missouribotanicalgarden.org//PlantFinder/PlantFinderDetails.aspx?taxonid=286985&isprofile=1&basic=Penstemon+Digitalis,
,Pineleaf Penstemon,Penstemon Pinifolius,1,1,1,1,http://www.missouribotanicalgarden.org/PlantFinder/PlantFinderProfileResults.aspx?basic=Penstemon+Pinifolius,http://www.missouribotanicalgarden.org//PlantFinder/PlantFinderDetails.aspx?taxonid=257802&isprofile=1&basic=Penstemon+Pinifolius,
,Cascade Penstemon,Penstemon Serrulatus,1,1,1,1,http://www.missouribotanicalgarden.org/PlantFinder/PlantFinderProfileResults.aspx?basic=Penstemon+Serrulatus,http://www.missouribotanicalgarden.org//PlantFinder/PlantFinderDetails.aspx?taxonid=257802&isprofile=1&basic=Penstemon+Pinifolius,
,Rocky Mountain Beardtongue,Penstemon Strictus,1,1,1,1,http://www.missouribotanicalgarden.org/PlantFinder/PlantFinderProfileResults.aspx?basic=Penstemon+Strictus,http://www.missouribotanicalgarden.org//PlantFinder/PlantFinderDetails.aspx?taxonid=257802&isprofile=1&basic=Penstemon+Pinifolius,
,Wild Allamanda,Pentalinon Luteum,1,1,1,1,http://www.missouribotanicalgarden.org/PlantFinder/PlantFinderProfileResults.aspx?basic=Pentalinon+Luteum,http://www.missouribotanicalgarden.org//PlantFinder/PlantFinderDetails.aspx?taxonid=257802&isprofile=1&basic=Penstemon+Pinifolius,
,Green Peperomia,Peperomia Obtusifolia,1,1,1,1,http://www.missouribotanicalgarden.org/PlantFinder/PlantFinderProfileResults.aspx?basic=Peperomia+Obtusifolia,http://www.missouribotanicalgarden.org//PlantFinder/PlantFinderDetails.aspx?taxonid=285088&isprofile=1&basic=Peperomia+Obtusifolia,
,Beefsteak Plant,Perilla Frutescens,1,1,1,1,http://www.missouribotanicalgarden.org/PlantFinder/PlantFinderProfileResults.aspx?basic=Perilla+Frutescens,http://www.missouribotanicalgarden.org//PlantFinder/PlantFinderDetails.aspx?taxonid=281498&isprofile=1&basic=Perilla+Frutescens,
,Russian Sage,Perovskia Atriplicifolia,1,1,1,1,http://www.missouribotanicalgarden.org/PlantFinder/PlantFinderProfileResults.aspx?basic=Perovskia+Atriplicifolia,http://www.missouribotanicalgarden.org//PlantFinder/PlantFinderDetails.aspx?taxonid=281634&isprofile=1&basic=Perovskia+Atriplicifolia,
,Dwarf Avocado,Persea Americana,1,1,1,1,http://www.missouribotanicalgarden.org/PlantFinder/PlantFinderProfileResults.aspx?basic=Persea+Americana,http://www.missouribotanicalgarden.org//PlantFinder/PlantFinderDetails.aspx?taxonid=281661&isprofile=1&basic=Persea+Americana,
,Parsley,Petroselinum Crispum,1,1,1,1,http://www.missouribotanicalgarden.org/PlantFinder/PlantFinderProfileResults.aspx?basic=Petroselinum+Crispum,http://www.missouribotanicalgarden.org//PlantFinder/PlantFinderDetails.aspx?taxonid=276060&isprofile=1&basic=Petroselinum+Crispum,
,Green Bean,Phaseolus Vulgaris,1,1,1,1,http://www.missouribotanicalgarden.org/PlantFinder/PlantFinderProfileResults.aspx?basic=Phaseolus+Vulgaris,http://www.missouribotanicalgarden.org//PlantFinder/PlantFinderDetails.aspx?taxonid=280470&isprofile=1&basic=Phaseolus+Vulgaris,
,Mockorange,Philadelphus Coronarius,1,1,1,1,http://www.missouribotanicalgarden.org/PlantFinder/PlantFinderProfileResults.aspx?basic=Philadelphus+Coronarius,http://www.missouribotanicalgarden.org//PlantFinder/PlantFinderDetails.aspx?taxonid=364293&isprofile=1&basic=Philadelphus+Coronarius,
,Sweetheart Philodendron,Philodendron Cordatum,1,1,1,1,http://www.missouribotanicalgarden.org/PlantFinder/PlantFinderProfileResults.aspx?basic=Philodendron+Cordatum,http://www.missouribotanicalgarden.org//PlantFinder/PlantFinderDetails.aspx?taxonid=364293&isprofile=1&basic=Philadelphus+Coronarius,
,Split Leaf Philodendron,Philodendron Selloum,1,1,1,1,http://www.missouribotanicalgarden.org/PlantFinder/PlantFinderProfileResults.aspx?basic=Philodendron+Selloum,http://www.missouribotanicalgarden.org//PlantFinder/PlantFinderDetails.aspx?taxonid=364293&isprofile=1&basic=Philadelphus+Coronarius,
,Prairie Phlox,Phlox Pilosa,1,1,1,1,http://www.missouribotanicalgarden.org/PlantFinder/PlantFinderProfileResults.aspx?basic=Phlox+Pilosa,http://www.missouribotanicalgarden.org//PlantFinder/PlantFinderDetails.aspx?taxonid=285436&isprofile=1&basic=Phlox+Pilosa,
,Creeping Phlox,Phlox Subulata,1,1,1,1,http://www.missouribotanicalgarden.org/PlantFinder/PlantFinderProfileResults.aspx?basic=Phlox+Subulata,http://www.missouribotanicalgarden.org//PlantFinder/PlantFinderDetails.aspx?taxonid=285439&isprofile=1&basic=Phlox+Subulata,
,Silver Date Palm,Phoenix Sylvestris,1,1,1,1,http://www.missouribotanicalgarden.org/PlantFinder/PlantFinderProfileResults.aspx?basic=Phoenix+Sylvestris,http://www.missouribotanicalgarden.org//PlantFinder/PlantFinderDetails.aspx?taxonid=285439&isprofile=1&basic=Phlox+Subulata,
,New Zealand Flax,Phormium Tenax,1,1,1,1,http://www.missouribotanicalgarden.org/PlantFinder/PlantFinderProfileResults.aspx?basic=Phormium+Tenax,http://www.missouribotanicalgarden.org//PlantFinder/PlantFinderDetails.aspx?taxonid=282257&isprofile=1&basic=Phormium+Tenax,
,Golden Bamboo,Phyllostachys Aurea,1,1,1,1,http://www.missouribotanicalgarden.org/PlantFinder/PlantFinderProfileResults.aspx?basic=Phyllostachys+Aurea,http://www.missouribotanicalgarden.org//PlantFinder/PlantFinderDetails.aspx?taxonid=282257&isprofile=1&basic=Phormium+Tenax,
,Chinese Lantern,Physalis Alkekengi,1,1,1,1,http://www.missouribotanicalgarden.org/PlantFinder/PlantFinderProfileResults.aspx?basic=Physalis+Alkekengi,http://www.missouribotanicalgarden.org//PlantFinder/PlantFinderDetails.aspx?taxonid=287167&isprofile=1&basic=Physalis+Alkekengi,
,Goldenberry,Physalis Peruviana,1,1,1,1,http://www.missouribotanicalgarden.org/PlantFinder/PlantFinderProfileResults.aspx?basic=Physalis+Peruviana,http://www.missouribotanicalgarden.org//PlantFinder/PlantFinderDetails.aspx?taxonid=287167&isprofile=1&basic=Physalis+Alkekengi,
,Tomatillo,Physalis Philadelphica,1,1,1,1,http://www.missouribotanicalgarden.org/PlantFinder/PlantFinderProfileResults.aspx?basic=Physalis+Philadelphica,http://www.missouribotanicalgarden.org//PlantFinder/PlantFinderDetails.aspx?taxonid=287199&isprofile=1&basic=Tomatillo,
,Ninebark,Physocarpus Opulifolius,1,1,1,1,http://www.missouribotanicalgarden.org/PlantFinder/PlantFinderProfileResults.aspx?basic=Physocarpus+Opulifolius,http://www.missouribotanicalgarden.org//PlantFinder/PlantFinderDetails.aspx?taxonid=286432&isprofile=1&basic=Physocarpus+Opulifolius,
,Obedient Plant,Physostegia Virginiana,1,1,1,1,http://www.missouribotanicalgarden.org/PlantFinder/PlantFinderProfileResults.aspx?basic=Physostegia+Virginiana,http://www.missouribotanicalgarden.org//PlantFinder/PlantFinderDetails.aspx?taxonid=281413&isprofile=1&basic=Physostegia+Virginiana,
,Norway Spruce,Picea Abies,1,1,1,1,http://www.missouribotanicalgarden.org/PlantFinder/PlantFinderProfileResults.aspx?basic=Picea+Abies,http://www.missouribotanicalgarden.org//PlantFinder/PlantFinderDetails.aspx?taxonid=284987&isprofile=1&basic=Picea+Abies,
,Engelmann Spruce,Picea Engelmannii,1,1,1,1,http://www.missouribotanicalgarden.org/PlantFinder/PlantFinderProfileResults.aspx?basic=Picea+Engelmannii,http://www.missouribotanicalgarden.org//PlantFinder/PlantFinderDetails.aspx?taxonid=284989&isprofile=1&basic=Picea+Engelmannii,
